Country_Region,Age,Values
Albania,Total,2870324.0
Albania,< 30,1202786.0
Albania,30s,359276.0
Albania,40s,346046.0
Albania,50s,399874.0
Albania,60s,304201.0
Albania,70s,185708.0
Albania,80+,72433.0
Algeria,Total,34080030.0
Algeria,< 30,20373118.628876954
Algeria,30s,5083774.939747456
Algeria,40s,3647763.475420714
Algeria,50s,2409272.2884388515
Algeria,60s,1342784.7369370828
Algeria,70s,868768.2806359212
Algeria,80+,449646.40315779543
Andorra,Total,76177.0
Andorra,< 30,23221.0
Andorra,30s,11331.0
Andorra,40s,14118.0
Andorra,50s,12718.0
Andorra,60s,7776.0
Andorra,70s,4453.0
Andorra,80+,2560.0
Angola,Total,25789024.0
Angola,< 30,18826481.0
Angola,30s,2886479.0
Angola,40s,1914991.0
Angola,50s,1192488.0
Angola,60s,571541.0
Angola,70s,273111.0
Angola,80+,123931.0
Antigua and Barbuda,Total,96453.0
Antigua and Barbuda,< 30,43135.0
Antigua and Barbuda,30s,14116.0
Antigua and Barbuda,40s,13922.0
Antigua and Barbuda,50s,12410.0
Antigua and Barbuda,60s,7404.0
Antigua and Barbuda,70s,3743.0
Antigua and Barbuda,80+,1723.0
Argentina,Total,44938712.0
Argentina,< 30,21592293.0
Argentina,30s,6429424.0
Argentina,40s,5606795.0
Argentina,50s,4326823.0
Argentina,60s,3510579.0
Argentina,70s,2256624.0
Argentina,80+,1216174.0
Armenia,Total,2972732.0
Armenia,< 30,1225453.0
Armenia,30s,485119.0
Armenia,40s,346671.0
Armenia,50s,399192.0
Armenia,60s,293761.0
Armenia,70s,139246.0
Armenia,80+,83290.0
Australia,Total,24992860.0
Australia,< 30,9810718.0
Australia,30s,3584903.0
Australia,40s,3264783.0
Australia,50s,3058380.0
Australia,60s,2566403.0
Australia,70s,1718337.0
Australia,80+,989336.0
Austria,Total,8822267.0
Austria,< 30,2866660.0
Austria,30s,1187078.0
Austria,40s,1237979.0
Austria,50s,1360002.0
Austria,60s,971747.0
Austria,70s,763435.0
Austria,80+,436385.0
Azerbaijan,Total,9898085.0
Azerbaijan,< 30,4621289.0
Azerbaijan,30s,1659007.0
Azerbaijan,40s,1268583.0
Azerbaijan,50s,1281702.0
Azerbaijan,60s,681707.0
Azerbaijan,70s,247928.0
Azerbaijan,80+,137869.0
Bahamas,Total,381320.0
Bahamas,< 30,182260.0
Bahamas,30s,53850.0
Bahamas,40s,56610.0
Bahamas,50s,46800.0
Bahamas,60s,25570.0
Bahamas,70s,11910.0
Bahamas,80+,4320.0
Bahrain,Total,1503091.0
Bahrain,< 30,677855.0
Bahrain,30s,389709.0
Bahrain,40s,228526.0
Bahrain,50s,130775.0
Bahrain,60s,52827.0
Bahrain,70s,16289.0
Bahrain,80+,7110.0
Bangladesh,Total,144043697.0
Bangladesh,< 30,89523001.0
Bangladesh,30s,20056193.0
Bangladesh,40s,14641735.0
Bangladesh,50s,9053268.0
Bangladesh,60s,6047504.0
Bangladesh,70s,3106439.0
Bangladesh,80+,1615557.0
Barbados,Total,277821.0
Barbados,< 30,110884.0
Barbados,30s,39301.0
Barbados,40s,41478.0
Barbados,50s,36703.0
Barbados,60s,23637.0
Barbados,70s,15617.0
Barbados,80+,10201.0
Belarus,Total,9491823.0
Belarus,< 30,3274485.0
Belarus,30s,1482291.0
Belarus,40s,1291512.0
Belarus,50s,1402423.0
Belarus,60s,1120661.0
Belarus,70s,560451.0
Belarus,80+,360000.0
Belgium,Total,11398589.0
Belgium,< 30,3982496.0
Belgium,30s,1479781.0
Belgium,40s,1513991.0
Belgium,50s,1594245.0
Belgium,60s,1309998.0
Belgium,70s,881301.0
Belgium,80+,638383.0
Belize,Total,322453.0
Belize,< 30,206451.0
Belize,30s,43518.0
Belize,40s,32302.0
Belize,50s,20360.0
Belize,60s,10620.0
Belize,70s,6059.0
Belize,80+,4532.0
Bhutan,Total,727145.0
Bhutan,< 30,412398.0
Bhutan,30s,120729.0
Bhutan,40s,77028.0
Bhutan,50s,53215.0
Bhutan,60s,35365.0
Bhutan,70s,19339.0
Bhutan,80+,12745.0
Bolivia,Total,10059856.0
Bolivia,< 30,6063051.0
Bolivia,30s,1384863.0
Bolivia,40s,1006685.0
Bolivia,50s,727245.0
Bolivia,60s,484396.0
Bolivia,70s,251699.0
Bolivia,80+,150151.0
Bosnia and Herzegovina,Total,3531159.0
Bosnia and Herzegovina,< 30,1266835.0
Bosnia and Herzegovina,30s,501899.0
Bosnia and Herzegovina,40s,502066.0
Bosnia and Herzegovina,50s,535112.0
Bosnia and Herzegovina,60s,376820.0
Bosnia and Herzegovina,70s,257722.0
Bosnia and Herzegovina,80+,90705.0
Brazil,Total,190755799.0
Brazil,< 30,97272772.0
Brazil,30s,29633091.0
Brazil,40s,24842716.0
Brazil,50s,18416623.0
Brazil,60s,11349930.0
Brazil,70s,6305083.0
Brazil,80+,2935584.0
Brunei,Total,393372.0
Brunei,< 30,211737.0
Brunei,30s,70692.0
Brunei,40s,54732.0
Brunei,50s,33825.0
Brunei,60s,13606.0
Brunei,70s,6502.0
Brunei,80+,3151.0
Bulgaria,Total,7050034.0
Bulgaria,< 30,2087843.0
Bulgaria,30s,979421.0
Bulgaria,40s,1067440.0
Bulgaria,50s,945874.0
Bulgaria,60s,967186.0
Bulgaria,70s,663980.0
Bulgaria,80+,338498.0
Cabo Verde,Total,491683.0
Cabo Verde,< 30,311941.0
Cabo Verde,30s,61740.0
Cabo Verde,40s,49803.0
Cabo Verde,50s,30304.0
Cabo Verde,60s,12408.0
Cabo Verde,70s,16100.0
Cabo Verde,80+,9032.0
Cambodia,Total,13395682.0
Cambodia,< 30,8735645.0
Cambodia,30s,1538183.0
Cambodia,40s,1391101.0
Cambodia,50s,881842.0
Cambodia,60s,494450.0
Cambodia,70s,266831.0
Cambodia,80+,90422.0
Canada,Total,37058856.0
Canada,< 30,13090644.0
Canada,30s,5064962.0
Canada,40s,4784619.0
Canada,50s,5304199.0
Canada,60s,4491966.0
Canada,70s,2735126.0
Canada,80+,1587340.0
Chad,Total,11039873.0
Chad,< 30,8260057.039496118
Chad,30s,1115209.497760719
Chad,40s,733376.6390952138
Chad,50s,428499.1169572378
Chad,60s,263172.2725208275
Chad,70s,146866.80118308705
Chad,80+,84914.02364357637
Chile,Total,18726548.0
Chile,< 30,7823007.0
Chile,30s,2837137.0
Chile,40s,2492673.0
Chile,50s,2430505.0
Chile,60s,1724151.0
Chile,70s,967809.0
Chile,80+,902532.0
China,Total,1332810869.0
China,< 30,549638105.0
China,30s,215164162.0
China,40s,230348517.0
China,50s,160065645.0
China,60s,99780564.0
China,70s,56824530.0
China,80+,20989346.0
Costa Rica,Total,5003673.0
Costa Rica,< 30,2259474.0
Costa Rica,30s,735405.0
Costa Rica,40s,610946.0
Costa Rica,50s,603842.0
Costa Rica,60s,445851.0
Costa Rica,70s,229848.0
Costa Rica,80+,118307.0
Croatia,Total,4105493.0
Croatia,< 30,1294181.0
Croatia,30s,552831.0
Croatia,40s,543591.0
Croatia,50s,591011.0
Croatia,60s,555410.0
Croatia,70s,355202.0
Croatia,80+,213404.0
Cuba,Total,11215344.0
Cuba,< 30,3984999.0
Cuba,30s,1368446.5
Cuba,40s,1789664.5
Cuba,50s,1802795.0
Cuba,60s,1123432.5
Cuba,70s,758843.5
Cuba,80+,573648.0
Cyprus,Total,840407.0
Cyprus,< 30,330953.0
Cyprus,30s,131696.0
Cyprus,40s,116968.0
Cyprus,50s,103890.0
Cyprus,60s,81362.0
Cyprus,70s,50491.0
Cyprus,80+,24948.0
Czechia,Total,10610055.0
Czechia,< 30,3335639.0
Czechia,30s,1541809.0
Czechia,40s,1675966.0
Czechia,50s,1317890.0
Czechia,60s,1383116.0
