Country_Region,Age,relative_pop,Values
Albania,<30,0.002153586879249857,1202786.0
Albania,30s,0.002153586879249857,359276.0
Albania,40s,0.002153586879249857,346046.0
Albania,50s,0.002153586879249857,399874.0
Albania,60+,0.002153586879249857,562342.0
Algeria,<30,0.02556229683143438,20373118.629000008
Algeria,30s,0.02556229683143438,5083774.939699999
Algeria,40s,0.02556229683143438,3647763.4755
Algeria,50s,0.02556229683143438,2409272.2885000003
Algeria,60+,0.02556229683143438,2555777.7208399996
Andorra,<30,5.715514614399502e-05,23221.0
Andorra,30s,5.715514614399502e-05,11331.0
Andorra,40s,5.715514614399502e-05,14118.0
Andorra,50s,5.715514614399502e-05,12718.0
Andorra,60+,5.715514614399502e-05,14789.0
Angola,<30,0.019349348508351637,18826481.0
Angola,30s,0.019349348508351637,2886479.0
Angola,40s,0.019349348508351637,1914991.0
Angola,50s,0.019349348508351637,1192488.0
Angola,60+,0.019349348508351637,968583.0
Antigua & B.,<30,7.236810731620767e-05,43135.0
Antigua & B.,30s,7.236810731620767e-05,14116.0
Antigua & B.,40s,7.236810731620767e-05,13922.0
Antigua & B.,50s,7.236810731620767e-05,12410.0
Antigua & B.,60+,7.236810731620767e-05,12870.0
Argentina,<30,0.033717246043857105,21592293.0
Argentina,30s,0.033717246043857105,6429424.0
Argentina,40s,0.033717246043857105,5606795.0
Argentina,50s,0.033717246043857105,4326823.0
Argentina,60+,0.033717246043857105,6983377.0
Armenia,<30,0.0022304229873443505,1225453.0
Armenia,30s,0.0022304229873443505,485119.0
Armenia,40s,0.0022304229873443505,346671.0
Armenia,50s,0.0022304229873443505,399192.0
Armenia,60+,0.0022304229873443505,516297.0
Australia,<30,0.018751992935615833,9810718.0
Australia,30s,0.018751992935615833,3584903.0
Australia,40s,0.018751992935615833,3264783.0
Australia,50s,0.018751992935615833,3058380.0
Australia,60+,0.018751992935615833,5274076.0
Austria,<30,0.006619564864908075,2866660.0
Austria,30s,0.006619564864908075,1187078.0
Austria,40s,0.006619564864908075,1237979.0
Austria,50s,0.006619564864908075,1360002.0
Austria,60+,0.006619564864908075,2170909.0
Azerbaijan,<30,0.0074264738007625,4621289.0
Azerbaijan,30s,0.0074264738007625,1659007.0
Azerbaijan,40s,0.0074264738007625,1268583.0
Azerbaijan,50s,0.0074264738007625,1281702.0
Azerbaijan,60+,0.0074264738007625,1067504.0
Bahamas,<30,0.0002861021086105804,182260.0
Bahamas,30s,0.0002861021086105804,53850.0
Bahamas,40s,0.0002861021086105804,56610.0
Bahamas,50s,0.0002861021086105804,46800.0
Bahamas,60+,0.0002861021086105804,41800.0
Bahrain,<30,0.001127760160845447,677855.0
Bahrain,30s,0.001127760160845447,389709.0
Bahrain,40s,0.001127760160845447,228526.0
Bahrain,50s,0.001127760160845447,130775.0
Bahrain,60+,0.001127760160845447,76226.0
Bangladesh,<30,0.10807512179734483,89523001.0
Bangladesh,30s,0.10807512179734483,20056193.0
Bangladesh,40s,0.10807512179734483,14641735.0
Bangladesh,50s,0.10807512179734483,9053268.0
Bangladesh,60+,0.10807512179734483,10769500.0
Barbados,<30,0.0002084474297605687,110884.0
Barbados,30s,0.0002084474297605687,39301.0
Barbados,40s,0.0002084474297605687,41478.0
Barbados,50s,0.0002084474297605687,36703.0
Barbados,60+,0.0002084474297605687,49455.0
Belarus,<30,0.007121657859169214,3274485.0
Belarus,30s,0.007121657859169214,1482291.0
Belarus,40s,0.007121657859169214,1291512.0
Belarus,50s,0.007121657859169214,1402423.0
Belarus,60+,0.007121657859169214,2041112.0
Belgium,<30,0.008552717617431135,3982496.0
Belgium,30s,0.008552717617431135,1479781.0
Belgium,40s,0.008552717617431135,1513991.0
Belgium,50s,0.008552717617431135,1594245.0
Belgium,60+,0.008552717617431135,2828642.0
Belize,<30,0.00024211087072099799,206451.0
Belize,30s,0.00024211087072099799,43518.0
Belize,40s,0.00024211087072099799,32302.0
Belize,50s,0.00024211087072099799,20360.0
Belize,60+,0.00024211087072099799,20057.0
Benin,<30,0.005080659347474154,4918629.0
Benin,30s,0.005080659347474154,754798.0
Benin,40s,0.005080659347474154,460544.0
Benin,50s,0.005080659347474154,261394.0
Benin,60+,0.005080659347474154,376193.0
Bhutan,<30,0.0005461502580228433,412398.0
Bhutan,30s,0.0005461502580228433,120729.0
Bhutan,40s,0.0005461502580228433,77028.0
Bhutan,50s,0.0005461502580228433,53215.0
Bhutan,60+,0.0005461502580228433,64545.0
Bolivia,<30,0.007549272919382232,6063051.0
Bolivia,30s,0.007549272919382232,1384863.0
Bolivia,40s,0.007549272919382232,1006685.0
Bolivia,50s,0.007549272919382232,727245.0
Bolivia,60+,0.007549272919382232,879909.0
Bosnia & H.,<30,0.002649407415659363,1266835.0
Bosnia & H.,30s,0.002649407415659363,501899.0
Bosnia & H.,40s,0.002649407415659363,502066.0
Bosnia & H.,50s,0.002649407415659363,535112.0
