country,update,lat,long,confirmed,deaths,recovered,est_death_percent,deaths_per_conf_perc,over_sixty_perc
Albania,2020-04-15 22:56:32,41.1533,20.1683,494,25,251,0.6991703027254067,5.060728744939271,19.5915861763341
Algeria,2020-04-15 22:56:32,28.0339,1.6596,2160,336,708,0.2954284671782108,15.555555555555555,7.501613432788358
Andorra,2020-04-15 22:56:32,42.5063,1.5218,673,33,169,0.7466295601034433,4.903417533432393,19.413996350604513
Angola,2020-04-15 22:56:32,-11.2027,17.8739,19,2,5,0.15049559459835274,10.526315789473683,3.7557957800803767
Antigua and Barbuda,2020-04-15 22:56:32,17.0608,-61.7964,23,2,3,0.4911646086695074,8.695652173913043,13.343286367453578
Argentina,2020-04-15 22:56:32,-38.4161,-63.6167,2443,111,596,0.5932558903779885,4.543593941874744,15.539780045320391
Armenia,2020-04-15 22:56:32,40.0691,45.0382,1111,17,297,0.6330685376280135,1.5301530153015301,17.367761372367234
Australia,2020-04-15 23:04:26,-35.4735,149.0124,6440,63,2186,0.811031366558289,0.9782608695652175,21.102330825683815
Austria,2020-04-15 22:56:32,47.5162,14.5501,14336,393,8098,0.9820352733901961,2.7413504464285716,24.606149097525137
Azerbaijan,2020-04-15 22:56:32,40.1431,47.5769,1253,13,404,0.39267671473825494,1.0375099760574622,10.784954867532456
The Bahamas,2020-04-15 22:56:32,25.025885,-78.035889,49,8,6,0.3945190391272422,16.3265306122449,10.961921745515578
Bahrain,2020-04-15 22:56:32,26.0275,50.55,1671,7,663,0.20930781968623324,0.41891083183722316,5.071283109272825
Bangladesh,2020-04-15 22:56:32,23.685,90.3563,1231,50,49,0.285691460001891,4.061738424045491,7.476550674758091
Barbados,2020-04-15 22:56:32,13.1939,-59.5432,73,5,15,0.7156222891718048,6.8493150684931505,17.80103015970715
Belarus,2020-04-15 22:56:32,53.7098,27.9534,3728,36,203,0.7923957600136454,0.9656652360515022,21.503898671519686
Belgium,2020-04-15 22:56:32,50.8333,4.469936,33573,4440,7107,0.9895940620160003,13.224912876418552,24.814488442345066
Belize,2020-04-15 22:56:32,17.1899,-88.4976,18,2,0,0.254212428103927,11.11111111111111,6.215601447838159
Benin,2020-04-15 22:56:32,9.3077,2.3158,35,1,18,0.23704857877611032,2.857142857142857,5.5554866398545215
Bhutan,2020-04-15 22:56:32,27.5142,90.4336,5,0,2,0.340866859454744,0.0,8.867106736363448
Bolivia,2020-04-15 22:56:32,-16.2902,-63.5887,397,28,7,0.3353703176772477,7.052896725440807,8.745086467537018
Bosnia and Herzegovina,2020-04-15 22:56:32,43.9159,17.6791,1110,41,253,0.7478994573736272,3.6936936936936933,20.538497416853787
Botswana,2020-04-15 22:56:32,-22.3285,24.6849,13,1,0,0.2987544594706712,7.6923076923076925,6.837657488947624
Brazil,2020-04-15 22:56:32,-14.235,-51.9253,28320,1736,14026,0.40935681646040023,6.129943502824859,10.794218109196251
Brunei,2020-04-15 22:56:32,4.5353,114.7277,136,1,108,0.23332138945431724,0.7352941176470588,5.72315104940954
Bulgaria,2020-04-15 22:56:32,42.7339,25.4858,747,36,105,1.0390018944422883,4.819277108433735,27.936045126194024
Burkina Faso,2020-04-15 22:56:32,12.2383,-1.5616,542,32,226,0.19837112272133772,5.904059040590406,5.162187745177628
Myanmar,2020-04-15 22:56:32,21.9162,95.956,74,4,2,0.33306000743062414,5.405405405405405,8.910936295433153
