Country_Region,Age,Values,relative_pop
Albania,<30,1202786.0,0.002153586879249857
Albania,30s,359276.0,0.002153586879249857
Albania,40s,346046.0,0.002153586879249857
Albania,50s,399874.0,0.002153586879249857
Albania,60s,304201.0,0.002153586879249857
Albania,70s,185708.0,0.002153586879249857
Albania,80+,72433.0,0.002153586879249857
Algeria,<30,20373118.629000008,0.02556229683143438
Algeria,30s,5083774.939699999,0.02556229683143438
Algeria,40s,3647763.4755,0.02556229683143438
Algeria,50s,2409272.2885000003,0.02556229683143438
Algeria,60s,1342784.737,0.02556229683143438
Algeria,70s,868768.2807,0.02556229683143438
Algeria,80+,344224.70314,0.02556229683143438
Andorra,<30,23221.0,5.715514614399502e-05
Andorra,30s,11331.0,5.715514614399502e-05
Andorra,40s,14118.0,5.715514614399502e-05
Andorra,50s,12718.0,5.715514614399502e-05
Andorra,60s,7776.0,5.715514614399502e-05
Andorra,70s,4453.0,5.715514614399502e-05
Andorra,80+,2560.0,5.715514614399502e-05
Angola,<30,18826481.0,0.019349348508351637
Angola,30s,2886479.0,0.019349348508351637
Angola,40s,1914991.0,0.019349348508351637
Angola,50s,1192488.0,0.019349348508351637
Angola,60s,571541.0,0.019349348508351637
Angola,70s,273111.0,0.019349348508351637
Angola,80+,123931.0,0.019349348508351637
Antigua & B.,<30,43135.0,7.236810731620767e-05
Antigua & B.,30s,14116.0,7.236810731620767e-05
Antigua & B.,40s,13922.0,7.236810731620767e-05
Antigua & B.,50s,12410.0,7.236810731620767e-05
Antigua & B.,60s,7404.0,7.236810731620767e-05
Antigua & B.,70s,3743.0,7.236810731620767e-05
Antigua & B.,80+,1723.0,7.236810731620767e-05
Argentina,<30,21592293.0,0.033717246043857105
Argentina,30s,6429424.0,0.033717246043857105
Argentina,40s,5606795.0,0.033717246043857105
Argentina,50s,4326823.0,0.033717246043857105
Argentina,60s,3510579.0,0.033717246043857105
Argentina,70s,2256624.0,0.033717246043857105
Argentina,80+,1216174.0,0.033717246043857105
