Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value
Albania,2018,Total,Both Sexes,Total,Estimate - de jure,"Final figure, complete",2019,2870324
Albania,2018,Total,Both Sexes,0,Estimate - de jure,"Final figure, complete",2019,30867
Albania,2018,Total,Both Sexes,0 - 4,Estimate - de jure,"Final figure, complete",2019,162416
Albania,2018,Total,Both Sexes,1,Estimate - de jure,"Final figure, complete",2019,31137
Albania,2018,Total,Both Sexes,1-Apr,Estimate - de jure,"Final figure, complete",2019,131549
Albania,2018,Total,Both Sexes,2,Estimate - de jure,"Final figure, complete",2019,31739
Albania,2018,Total,Both Sexes,3,Estimate - de jure,"Final figure, complete",2019,34559
Albania,2018,Total,Both Sexes,4,Estimate - de jure,"Final figure, complete",2019,34114
Albania,2018,Total,Both Sexes,5,Estimate - de jure,"Final figure, complete",2019,33268
Albania,2018,Total,Both Sexes,5-Sep,Estimate - de jure,"Final figure, complete",2019,163875
Albania,2018,Total,Both Sexes,6,Estimate - de jure,"Final figure, complete",2019,31850
Albania,2018,Total,Both Sexes,7,Estimate - de jure,"Final figure, complete",2019,32985
Albania,2018,Total,Both Sexes,8,Estimate - de jure,"Final figure, complete",2019,32287
Albania,2018,Total,Both Sexes,9,Estimate - de jure,"Final figure, complete",2019,33485
Albania,2018,Total,Both Sexes,10,Estimate - de jure,"Final figure, complete",2019,32790
Albania,2018,Total,Both Sexes,Oct-14,Estimate - de jure,"Final figure, complete",2019,180659
Albania,2018,Total,Both Sexes,11,Estimate - de jure,"Final figure, complete",2019,33454
Albania,2018,Total,Both Sexes,12,Estimate - de jure,"Final figure, complete",2019,36889
Albania,2018,Total,Both Sexes,13,Estimate - de jure,"Final figure, complete",2019,38746
Albania,2018,Total,Both Sexes,14,Estimate - de jure,"Final figure, complete",2019,38780
Albania,2018,Total,Both Sexes,15,Estimate - de jure,"Final figure, complete",2019,42164
Albania,2018,Total,Both Sexes,15 - 19,Estimate - de jure,"Final figure, complete",2019,214636
Albania,2018,Total,Both Sexes,16,Estimate - de jure,"Final figure, complete",2019,37684
Albania,2018,Total,Both Sexes,17,Estimate - de jure,"Final figure, complete",2019,44359
Albania,2018,Total,Both Sexes,18,Estimate - de jure,"Final figure, complete",2019,46356
Albania,2018,Total,Both Sexes,19,Estimate - de jure,"Final figure, complete",2019,44073
Albania,2018,Total,Both Sexes,20,Estimate - de jure,"Final figure, complete",2019,45898
Albania,2018,Total,Both Sexes,20 - 24,Estimate - de jure,"Final figure, complete",2019,247137
Albania,2018,Total,Both Sexes,21,Estimate - de jure,"Final figure, complete",2019,48938
Albania,2018,Total,Both Sexes,22,Estimate - de jure,"Final figure, complete",2019,49814
Albania,2018,Total,Both Sexes,23,Estimate - de jure,"Final figure, complete",2019,52087
Albania,2018,Total,Both Sexes,24,Estimate - de jure,"Final figure, complete",2019,50400
Albania,2018,Total,Both Sexes,25,Estimate - de jure,"Final figure, complete",2019,48690
Albania,2018,Total,Both Sexes,25 - 29,Estimate - de jure,"Final figure, complete",2019,234063
Albania,2018,Total,Both Sexes,26,Estimate - de jure,"Final figure, complete",2019,48227
Albania,2018,Total,Both Sexes,27,Estimate - de jure,"Final figure, complete",2019,48238
Albania,2018,Total,Both Sexes,28,Estimate - de jure,"Final figure, complete",2019,46031
Albania,2018,Total,Both Sexes,29,Estimate - de jure,"Final figure, complete",2019,42877
Albania,2018,Total,Both Sexes,30,Estimate - de jure,"Final figure, complete",2019,40778
Albania,2018,Total,Both Sexes,30 - 34,Estimate - de jure,"Final figure, complete",2019,194459
Albania,2018,Total,Both Sexes,31,Estimate - de jure,"Final figure, complete",2019,40446
Albania,2018,Total,Both Sexes,32,Estimate - de jure,"Final figure, complete",2019,37554
Albania,2018,Total,Both Sexes,33,Estimate - de jure,"Final figure, complete",2019,38724
Albania,2018,Total,Both Sexes,34,Estimate - de jure,"Final figure, complete",2019,36957
Albania,2018,Total,Both Sexes,35,Estimate - de jure,"Final figure, complete",2019,33713
Albania,2018,Total,Both Sexes,35 - 39,Estimate - de jure,"Final figure, complete",2019,164817
Albania,2018,Total,Both Sexes,36,Estimate - de jure,"Final figure, complete",2019,34840
Albania,2018,Total,Both Sexes,37,Estimate - de jure,"Final figure, complete",2019,32420
Albania,2018,Total,Both Sexes,38,Estimate - de jure,"Final figure, complete",2019,31919
Albania,2018,Total,Both Sexes,39,Estimate - de jure,"Final figure, complete",2019,31925
Albania,2018,Total,Both Sexes,40,Estimate - de jure,"Final figure, complete",2019,32079
Albania,2018,Total,Both Sexes,40 - 44,Estimate - de jure,"Final figure, complete",2019,165031
Albania,2018,Total,Both Sexes,41,Estimate - de jure,"Final figure, complete",2019,32614
Albania,2018,Total,Both Sexes,42,Estimate - de jure,"Final figure, complete",2019,32596
Albania,2018,Total,Both Sexes,43,Estimate - de jure,"Final figure, complete",2019,33244
Albania,2018,Total,Both Sexes,44,Estimate - de jure,"Final figure, complete",2019,34498
Albania,2018,Total,Both Sexes,45,Estimate - de jure,"Final figure, complete",2019,33438
Albania,2018,Total,Both Sexes,45 - 49,Estimate - de jure,"Final figure, complete",2019,181015
Albania,2018,Total,Both Sexes,46,Estimate - de jure,"Final figure, complete",2019,36073
Albania,2018,Total,Both Sexes,47,Estimate - de jure,"Final figure, complete",2019,35658
